county,window,truth_offset,ND,RMSE,MAE
25001,202027-202031,30,4.5474,140.035,30.1429
25001,202031-202036,65,7.3033,131.4431,25.4571
25003,202027-202031,30,21.5075,232.7692,41.1714
25003,202031-202036,65,28.4906,246.7993,43.1429
25005,202027-202031,30,1.5235,95.519,43.4857
25005,202031-202036,65,1.5248,89.2681,35.9429
25009,202027-202031,30,1.138,58.3041,45.7143
25009,202031-202036,65,1.0744,105.2266,54.0571
25013,202027-202031,30,1.4606,62.8672,30.1714
25013,202031-202036,65,1.5809,72.5115,27.9143
25015,202027-202031,30,8.2514,224.9026,43.1429
25015,202031-202036,65,9.8543,227.023,42.5143
25021,202027-202031,30,1.1265,50.7473,41.2286
25021,202031-202036,65,1.129,44.4709,24.0
25023,202027-202031,30,1.7683,66.0292,24.2
25023,202031-202036,65,1.5896,73.0366,27.8857
25025,202027-202031,30,1.0915,60.8826,51.8286
25025,202031-202036,65,1.0201,140.0969,72.5714
25027,202027-202031,30,1.1403,46.0205,36.4571
25027,202031-202036,65,1.2229,65.3715,32.2857
