county,window,truth_offset,ND,RMSE,MAE
25001,202027-202031,30,6.3793,211.7895,42.2857
25001,202031-202035,65,10.6639,200.7091,37.1714
25003,202027-202031,30,33.5672,369.3411,64.2571
25003,202031-202035,65,40.7925,357.003,61.7714
25005,202027-202031,30,3.1281,362.5682,89.2857
25005,202031-202035,65,3.1261,304.7171,73.6857
25009,202027-202031,30,1.9459,234.6724,78.1714
25009,202031-202035,65,1.7354,252.2279,87.3143
25013,202027-202031,30,3.9889,368.4796,82.4
25013,202031-202035,65,4.3074,350.3921,76.0571
25021,202027-202031,30,1.8431,189.9879,67.4571
25021,202031-202035,65,2.1532,156.6297,45.7714
25023,202027-202031,30,4.0251,247.4277,55.0857
25023,202031-202035,65,3.4137,256.4183,59.8857
25025,202027-202031,30,1.5499,168.5096,73.6
25025,202031-202035,65,1.2904,195.6007,91.8
25027,202027-202031,30,2.0715,209.8477,66.2286
25027,202031-202035,65,2.0076,170.2515,53.0
