date,epiweek,nta_id,county,neighborhood,cases_week,cases_4_week_avg,hospitalizations_month,deaths_month,retail_and_recreation_change_week,grocery_and_pharmacy_change_week,parks_change_week,transit_stations_change_week,workplaces_change_week,residential_change_week
2020/06/06,202023,25001,Barnstable County,Barnstable County,138.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/06/13,202024,25001,Barnstable County,Barnstable County,36.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/06/20,202025,25001,Barnstable County,Barnstable County,27.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/06/27,202026,25001,Barnstable County,Barnstable County,18.0,54.75,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25001,Barnstable County,Barnstable County,22.0,25.75,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25001,Barnstable County,Barnstable County,21.0,22.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25001,Barnstable County,Barnstable County,38.0,24.75,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25001,Barnstable County,Barnstable County,72.0,38.25,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25001,Barnstable County,Barnstable County,71.0,50.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25001,Barnstable County,Barnstable County,43.0,56.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25001,Barnstable County,Barnstable County,5.0,47.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25001,Barnstable County,Barnstable County,14.0,33.25,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25001,Barnstable County,Barnstable County,27.0,22.25,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/09/05,202036,25001,Barnstable County,Barnstable County,32.0,19.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/09/12,202037,25001,Barnstable County,Barnstable County,30.0,25.75,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/09/19,202038,25001,Barnstable County,Barnstable County,29.0,29.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/09/26,202039,25001,Barnstable County,Barnstable County,39.0,32.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/10/03,202040,25001,Barnstable County,Barnstable County,68.0,41.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/10/10,202041,25001,Barnstable County,Barnstable County,40.0,44.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/10/17,202042,25001,Barnstable County,Barnstable County,31.0,44.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/10/24,202043,25001,Barnstable County,Barnstable County,45.0,46.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/10/31,202044,25001,Barnstable County,Barnstable County,96.0,53.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/07,202045,25001,Barnstable County,Barnstable County,94.0,66.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/14,202046,25001,Barnstable County,Barnstable County,143.0,94.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/21,202047,25001,Barnstable County,Barnstable County,360.0,173.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28,202048,25001,Barnstable County,Barnstable County,351.0,237.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/12/05,202049,25001,Barnstable County,Barnstable County,452.0,326.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/12/12,202050,25001,Barnstable County,Barnstable County,456.0,404.75,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/12/19,202051,25001,Barnstable County,Barnstable County,570.0,457.25,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/12/26,202052,25001,Barnstable County,Barnstable County,296.0,443.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/01/02,202053,25001,Barnstable County,Barnstable County,319.0,410.25,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/01/09,202101,25001,Barnstable County,Barnstable County,963.0,537.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/01/16,202102,25001,Barnstable County,Barnstable County,946.0,631.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
