date,deaths
2020-06-01,0.0
2020-06-08,2.0
2020-06-15,2.0
2020-06-22,0.0
2020-06-29,1.0
2020-07-06,0.0
2020-07-13,0.0
2020-07-20,0.0
2020-07-27,1.0
2020-08-03,0.0
2020-08-10,0.0
2020-08-17,0.0
2020-08-24,0.0
2020-08-31,0.0
2020-09-07,1.0
2020-09-14,2.0
2020-09-21,0.0
2020-09-28,1.0
2020-10-05,1.0
2020-10-12,0.0
2020-10-19,0.0
2020-10-26,1.0
2020-11-02,0.0
2020-11-09,0.0
2020-11-16,0.0
2020-11-23,9.0
2020-11-30,12.0
2020-12-07,28.0
2020-12-14,18.0
2020-12-21,0.0
2020-12-28,25.0
2021-01-04,19.0
2021-01-11,21.0
2021-01-18,11.0
2021-01-25,21.0
2021-02-01,14.0
2021-02-08,12.0
2021-02-15,8.0
2021-02-22,8.0
2021-03-01,5.0
2021-03-08,1.0
2021-03-15,5.0
2021-03-22,3.0
2021-03-29,6.0
2021-04-05,3.0
2021-04-12,1.0
2021-04-19,0.0
2021-04-26,0.0
2021-05-03,1.0
2021-05-10,2.0
2021-05-17,1.0
2021-05-24,0.0
2021-05-31,1.0
2021-06-07,0.0
2021-06-14,0.0
2021-06-21,1.0
2021-06-28,0.0
2021-07-05,0.0
2021-07-12,0.0
2021-07-19,1.0
2021-07-26,1.0
